"jvm","mode","gcc","gc","benchmark","category","cpu","ti","ipc","tbr","tbrpti","brmps","tbmr","bmr","tl1dl","tl1dlpti","l1dlmps","tl1dlmr","l1dlmr","tl2dl","tl2dlpti","l2dlmps","tl2dlmr","l2dlmr","tpf","tpfpti","pfmr","pfkps","to","topti","rtp","tc","meanA","stdA","minA","maxA","samplesA","meanV","stdV","minV","maxV","samplesV","meanW","stdW","minW","maxW","samplesW","C","Ah","energyJ","energyWh","l1dlmrps","l2dlmrps"
"j09","HS","GCC5","CGC","akka-uct","concurrency",3.495,354160979788,0.73,65889810024,18.6044803872639,198.965,1487892843,2.26,117686538441,33.2296738368656,355.374,2787736512,2.37,10896998712,3.07684904150732,32.905,1624953339,14.91,382378,0.000107967286579366,0.0235346830729686,0.001,159687632611,45.0889967343632,94.751742075,331162.132283,0.959763,0.133887,0.501206,1.75465,189576047,4.96475,0.0268075,4.79309,5.08024,189576047,4.7616,0.643733,2.52975,8.45837,189576047,90.974,0.0252706,451.343,0.125373,8.4223638,4.9061355
"j09","HS","GCC5","CGC","chi-square","apache",1.201,92781507207,0.86,17233254769,18.5740189912541,238.387,536939513,3.12,24958071647,26.8998342431723,345.244,639287066,2.56,2386723834,2.57241330287414,33.015,335773316,14.07,164093,0.000176859597283649,0.0488645369347695,0.002,48203456957,51.9537334626994,60.205436507,72291.132328,0.716202,0.128304,0.473522,1.59755,120476729,5.0127,0.0256138,4.82487,5.08705,120476729,3.58701,0.623937,2.39109,7.75331,120476729,43.1429,0.0119841,216.076,0.060021,8.8382464,4.6452105
"j09","HS","GCC5","CGC","db-shootout","database",1.235,270900984011,0.7,50750562536,18.7339897347657,188.503,899332459,1.77,71101316585,26.2462378439027,264.092,1722347848,2.42,8459768841,3.12282691474332,31.422,1087303677,12.85,524792,0.000193720964844739,0.0482753667689449,0.002,140589336049,51.8969455065882,218.018464281,269228.916423,0.715025,0.161893,0.471854,1.76766,436104249,5.0129,0.0322089,4.79309,5.08932,436104249,3.57932,0.785589,2.38321,8.51868,436104249,155.913,0.0433091,780.478,0.2168,6.3910264,4.037727
"j09","HS","GCC5","CGC","dec-tree","apache",1.526,125167156265,0.75,24135111679,19.2823040797555,215.341,1065631653,4.42,39367404779,31.4518648132043,351.249,1300920360,3.3,4636859116,3.70453340505954,41.372,724967736,15.63,144701,0.000115606205587705,0.0199658890639651,0.001,57027780691,45.5612977019807,73.429930661,112078.416472,0.746634,0.158293,0.474189,1.61223,146926413,5.00641,0.0314644,4.82146,5.08705,146926413,3.73316,0.76762,2.395,7.82453,146926413,54.8501,0.0152361,274.25,0.0761805,11.591217,6.4664436
"j09","HS","GCC5","CGC","dotty","scala",2.249,143269146389,0.61,29826536838,20.8185346180649,188.635,1572318580,5.27,52853814590,36.8912748642286,334.268,2711146761,5.13,7819407750,5.45784486547368,49.453,1403462929,17.95,127726,8.915108606371e-05,0.00909999174310903,0.808,52769387211,36.8323456522329,70.310986461,158118.122245,0.82101,0.101734,0.498204,1.5085,140688785,4.99152,0.0205368,4.84076,5.08137,140688785,4.0962,0.492657,2.51347,7.34678,140688785,57.7534,0.0160426,288.144,0.0800401,17.1479484,8.8768135
"j09","HS","GCC5","CGC","finagle-chirper","web",2.886,89416384810,0.4,17296337186,19.3435881161521,115.319,1268523787,7.33,31412786100,35.1309060042505,209.438,1466882015,4.67,6814986681,7.62163075087536,45.437,1518920125,22.29,79305,8.86917986770707e-05,0.00522066095270202,0.529,33892274843,37.9038751287221,51.970933298,149986.391753,0.855083,0.121029,0.449174,1.54752,104007829,4.98485,0.02427,4.83508,5.08932,104007829,4.25972,0.585597,2.27069,7.52982,104007829,44.4676,0.0123521,221.522,0.061534,9.7807546,10.1279073
"j09","HS","GCC5","CGC","finagle-http","web",3.105,69700718077,0.33,13548413265,19.4379823318789,95.969,1182914321,8.73,25330580285,36.3419215523959,179.426,1342429537,5.3,6652497433,9.54437431426579,47.122,1373299429,20.64,78719,0.000112938578212404,0.0057330424809195,0.558,24169227094,34.6757218014593,45.460139459,141175.626517,0.864684,0.11136,0.492867,1.58788,91024867,4.98319,0.02243,4.82827,5.08364,91024867,4.30659,0.538655,2.4843,7.70133,91024867,39.3539,0.0109316,196.003,0.0544454,9.509578,9.7259808
"j09","HS","GCC5","CGC","fj-kmeans","concurrency",3.054,111762419998,0.78,18131866474,16.2235807656317,165.088,199119845,1.1,29597670953,26.4826682828894,269.482,775916691,2.62,2616925417,2.34150747366318,23.827,896209786,34.25,62577,5.59910925346103e-05,0.00698172627145475,0.57,61415957154,54.9522434778158,35.967945457,109831.551339,0.866748,0.165908,0.480193,1.87372,72002462,4.98232,0.0332322,4.76698,5.08478,72002462,4.3131,0.795769,2.42423,8.99633,72002462,31.204,0.00866778,155.277,0.0431325,7.0604284,8.1607475
"j09","HS","GCC5","CGC","future-genetic","functional",2.104,24869852477,0.61,4303829647,17.3054088317582,156.906,226689836,5.27,7882929391,31.6967275873078,287.39,335923752,4.26,1269746553,5.10556527898298,46.291,208105026,16.39,44585,0.000179273278927701,0.0214236159758514,0.002,11413346886,45.892298301951,13.035887814,27429.385065,0.812823,0.104427,0.505875,1.52351,26136802,4.9928,0.0211717,4.83622,5.08024,26136802,4.05625,0.50477,2.55217,7.40962,26136802,10.6223,0.00295064,53.0087,0.0147246,12.242814,7.5870949
"j09","HS","GCC5","CGC","gauss-mix","apache",0.818,78933611940,0.91,14923519775,18.9064194684818,253.149,573743897,3.84,24427925892,30.9474320148538,414.373,668548024,2.74,2246662717,2.84626873366413,38.11,327554829,14.58,86692,0.000109829004234467,0.0264657143049398,0.001,37335503556,47.2998797830003,72.038515017,58951.505673,0.675645,0.133853,0.473522,1.58121,144143862,5.0206,0.0267318,4.82827,5.08818,144143862,3.38874,0.650962,2.38948,7.67937,144143862,48.695,0.0135264,244.233,0.0678426,11.3538202,5.556438
